step training_loss training_accuracy
578 0.684417 0.808594
579 0.641514 0.804688
580 0.55164 0.808594
581 0.62729 0.800781
582 0.581174 0.820312
583 0.650308 0.804688
584 0.645454 0.773438
585 0.775731 0.742188
586 0.53366 0.839844
587 0.5401 0.851562
588 0.538331 0.835938
589 0.513017 0.847656
590 0.426454 0.851562
591 0.668927 0.824219
592 0.513564 0.851562
593 0.500432 0.871094
594 0.646613 0.796875
595 0.74415 0.773438
596 0.557064 0.808594
597 0.572856 0.84375
598 0.491283 0.84375
599 0.537158 0.824219
600 0.70647 0.800781
601 0.586059 0.816406
602 0.587625 0.832031
603 0.577929 0.804688
604 0.615014 0.796875
605 0.531288 0.847656
606 0.721712 0.796875
607 0.53904 0.824219
608 0.538227 0.8125
609 0.524602 0.828125
610 0.650619 0.804688
611 0.625286 0.8125
612 0.523833 0.839844
613 0.624751 0.792969
614 0.48145 0.855469
615 0.554663 0.820312
616 0.591081 0.824219
617 0.546248 0.847656
618 0.591208 0.820312
619 0.648667 0.796875
620 0.469858 0.871094
621 0.614623 0.796875
622 0.609376 0.8125
623 0.566609 0.8125
624 0.687093 0.777344
625 0.584003 0.808594
626 0.69262 0.796875
627 0.697208 0.746094
628 0.675168 0.753906
629 0.545681 0.828125
630 0.640529 0.828125
631 0.509106 0.847656
632 0.625437 0.828125
633 0.413346 0.859375
634 0.521398 0.808594
635 0.610271 0.808594
636 0.551915 0.824219
637 0.610961 0.785156
638 0.486505 0.863281
639 0.628383 0.820312
640 0.602501 0.820312
641 0.573763 0.8125
642 0.571148 0.8125
643 0.508262 0.828125
644 0.576826 0.832031
645 0.545353 0.824219
646 0.50873 0.855469
647 0.413501 0.875
648 0.542425 0.828125
649 0.484008 0.828125
650 0.520985 0.847656
651 0.517279 0.820312
652 0.643126 0.800781
653 0.603885 0.792969
654 0.485513 0.839844
655 0.569694 0.851562
656 0.474801 0.855469
657 0.645581 0.785156
658 0.563426 0.820312
659 0.493691 0.867188
660 0.532028 0.855469
661 0.503629 0.855469
662 0.489001 0.84375
663 0.569948 0.839844
664 0.566556 0.816406
665 0.701125 0.78125
666 0.62495 0.824219
667 0.530034 0.832031
668 0.529391 0.828125
669 0.611525 0.828125
670 0.530233 0.839844
671 0.537896 0.839844
672 0.558924 0.835938
673 0.442877 0.859375
674 0.633209 0.808594
675 0.540481 0.84375
676 0.560196 0.832031
677 0.611575 0.820312
678 0.654845 0.796875
679 0.565447 0.84375
680 0.53712 0.835938
681 0.626544 0.785156
682 0.559562 0.804688
683 0.527405 0.859375
684 0.613734 0.8125
685 0.622356 0.824219
686 0.498153 0.851562
687 0.599127 0.792969
688 0.540216 0.84375
689 0.565613 0.808594
690 0.478649 0.832031
691 0.546221 0.839844
692 0.45057 0.847656
693 0.5878 0.808594
694 0.554854 0.820312
695 0.490659 0.84375
696 0.524857 0.835938
697 0.548479 0.828125
698 0.542947 0.824219
699 0.67235 0.773438
700 0.460549 0.851562
701 0.50219 0.847656
702 0.544532 0.796875
703 0.445418 0.84375
704 0.544359 0.835938
705 0.458961 0.851562
706 0.490948 0.863281
707 0.500677 0.824219
708 0.517466 0.847656
709 0.458495 0.855469
710 0.443042 0.863281
711 0.446736 0.867188
712 0.484693 0.847656
713 0.497981 0.847656
714 0.48106 0.84375
715 0.583174 0.832031
716 0.456158 0.882812
717 0.505809 0.839844
718 0.548459 0.835938
719 0.446879 0.859375
720 0.640544 0.792969
721 0.627021 0.796875
722 0.500944 0.84375
723 0.502975 0.835938
724 0.560085 0.84375
725 0.529642 0.832031
726 0.592513 0.847656
727 0.532265 0.8125
728 0.56841 0.828125
729 0.500362 0.847656
730 0.504402 0.851562
731 0.557659 0.816406
732 0.511359 0.820312
733 0.51547 0.859375
734 0.644437 0.785156
735 0.557368 0.820312
736 0.519789 0.835938
737 0.546135 0.84375
738 0.450182 0.84375
739 0.540079 0.855469
740 0.49138 0.863281
741 0.560022 0.828125
742 0.423578 0.867188
743 0.443613 0.84375
744 0.555771 0.828125
745 0.535823 0.828125
746 0.436356 0.859375
747 0.502081 0.835938
748 0.438333 0.859375
749 0.449961 0.847656
750 0.513944 0.824219
751 0.513329 0.859375
752 0.589683 0.835938
753 0.518903 0.824219
754 0.483103 0.855469
755 0.608879 0.824219
756 0.398978 0.878906
757 0.453902 0.875
758 0.54638 0.828125
759 0.483229 0.855469
760 0.583345 0.820312
761 0.602105 0.828125
762 0.503455 0.835938
763 0.482262 0.867188
764 0.539682 0.832031
765 0.532215 0.828125
766 0.502279 0.847656
767 0.417103 0.863281
768 0.502865 0.851562
769 0.471603 0.839844
770 0.581009 0.8125
771 0.471112 0.871094
772 0.481626 0.863281
773 0.552454 0.808594
774 0.518142 0.839844
775 0.542676 0.84375
776 0.503645 0.832031
777 0.56848 0.808594
778 0.600384 0.800781
779 0.431352 0.882812
780 0.441079 0.859375
781 0.494707 0.839844
782 0.526284 0.820312
783 0.633401 0.824219
784 0.428889 0.878906
785 0.414861 0.851562
786 0.603245 0.820312
787 0.472333 0.835938
788 0.528631 0.84375
789 0.456814 0.882812
790 0.463268 0.84375
791 0.491181 0.847656
792 0.430608 0.855469
793 0.49091 0.835938
794 0.505434 0.828125
795 0.430522 0.863281
796 0.471117 0.839844
797 0.594535 0.816406
798 0.511769 0.855469
799 0.389482 0.890625
800 0.618947 0.8125
801 0.639826 0.8125
802 0.494277 0.839844
803 0.395288 0.871094
804 0.45165 0.867188
805 0.519335 0.84375
806 0.428651 0.855469
807 0.417223 0.882812
808 0.482337 0.863281
809 0.446097 0.867188
810 0.475269 0.839844
811 0.527401 0.816406
812 0.571809 0.824219
813 0.414684 0.867188
814 0.458632 0.847656
815 0.567218 0.839844
816 0.348205 0.882812
817 0.431471 0.863281
818 0.404175 0.878906
819 0.453719 0.867188
820 0.495538 0.851562
821 0.57785 0.804688
822 0.498205 0.859375
823 0.452638 0.867188
824 0.378127 0.894531
825 0.473408 0.851562
826 0.505142 0.847656
827 0.423393 0.886719
828 0.415089 0.855469
829 0.392903 0.871094
830 0.482506 0.828125
831 0.429226 0.875
832 0.429408 0.855469
833 0.521142 0.8125
834 0.449076 0.878906
835 0.443832 0.878906
836 0.452539 0.859375
837 0.57121 0.816406
838 0.507726 0.847656
839 0.528436 0.816406
840 0.494648 0.84375
841 0.4746 0.855469
842 0.534571 0.839844
843 0.530629 0.839844
844 0.591429 0.835938
845 0.529103 0.847656
846 0.41208 0.875
847 0.495313 0.867188
848 0.495914 0.847656
849 0.379385 0.859375
850 0.431988 0.847656
851 0.510758 0.867188
852 0.555379 0.835938
853 0.456788 0.835938
854 0.415209 0.859375
855 0.442244 0.867188
856 0.591901 0.8125
857 0.461106 0.851562
858 0.572187 0.824219
859 0.448255 0.875
860 0.516317 0.824219
861 0.541443 0.847656
862 0.493939 0.824219
863 0.492524 0.824219
864 0.569343 0.835938
865 0.522615 0.820312
866 0.411732 0.878906
867 0.453377 0.875
868 0.537662 0.84375
869 0.460714 0.863281
870 0.530227 0.84375
871 0.494205 0.835938
872 0.448265 0.851562
873 0.45498 0.832031
874 0.517629 0.835938
875 0.358344 0.886719
876 0.443565 0.863281
877 0.400259 0.890625
878 0.427737 0.867188
879 0.405994 0.886719
880 0.40364 0.890625
881 0.397263 0.882812
882 0.392212 0.894531
883 0.482717 0.847656
884 0.547782 0.816406
885 0.479317 0.84375
886 0.555883 0.820312
887 0.425121 0.875
888 0.434847 0.859375
889 0.454259 0.855469
890 0.455789 0.855469
891 0.517837 0.832031
892 0.417607 0.886719
893 0.600948 0.8125
894 0.453356 0.859375
895 0.558908 0.832031
896 0.448362 0.851562
897 0.373056 0.878906
898 0.444645 0.875
899 0.392171 0.890625
900 0.504486 0.839844
901 0.454363 0.851562
902 0.604899 0.804688
903 0.559524 0.820312
904 0.479565 0.847656
905 0.448164 0.875
906 0.378319 0.875
907 0.478973 0.859375
908 0.390024 0.878906
909 0.450322 0.867188
910 0.466474 0.851562
911 0.509605 0.855469
912 0.401066 0.882812
913 0.50242 0.832031
914 0.554553 0.84375
915 0.380935 0.863281
916 0.455488 0.863281
917 0.427607 0.867188
918 0.488245 0.847656
919 0.397234 0.867188
920 0.454599 0.851562
921 0.429271 0.882812
922 0.54927 0.824219
923 0.512279 0.835938
924 0.461992 0.867188
925 0.581766 0.820312
926 0.538885 0.824219
927 0.383054 0.882812
928 0.45119 0.839844
929 0.456337 0.871094
930 0.597248 0.839844
931 0.383005 0.878906
932 0.422707 0.851562
933 0.459152 0.851562
934 0.446922 0.878906
935 0.398243 0.855469
936 0.357972 0.878906
937 0.556326 0.839844
938 0.402938 0.875
939 0.460496 0.851562
940 0.460437 0.851562
941 0.442298 0.878906
942 0.556343 0.839844
943 0.468471 0.839844
944 0.452204 0.871094
945 0.544417 0.835938
946 0.444357 0.851562
947 0.425589 0.871094
948 0.413159 0.886719
949 0.415858 0.875
950 0.464736 0.863281
951 0.365073 0.890625
952 0.469979 0.867188
953 0.482982 0.859375
954 0.433634 0.859375
955 0.377207 0.863281
956 0.409971 0.867188
957 0.491175 0.863281
958 0.414669 0.878906
959 0.458332 0.855469
960 0.528352 0.816406
961 0.433468 0.878906
962 0.380844 0.871094
963 0.45414 0.859375
964 0.386379 0.886719
965 0.398036 0.882812
966 0.521911 0.824219
967 0.408544 0.855469
968 0.481243 0.84375
969 0.441839 0.871094
970 0.506826 0.832031
971 0.457871 0.847656
972 0.501689 0.851562
973 0.502469 0.835938
974 0.414148 0.886719
975 0.452485 0.835938
976 0.434216 0.863281
977 0.450671 0.851562
978 0.470492 0.847656
979 0.491167 0.835938
980 0.402909 0.886719
981 0.443973 0.84375
982 0.479538 0.875
983 0.471785 0.851562
984 0.400894 0.863281
985 0.472854 0.851562
986 0.472011 0.855469
987 0.401685 0.871094
988 0.38833 0.867188
989 0.491779 0.835938
990 0.402281 0.882812
991 0.450106 0.871094
992 0.346228 0.875
993 0.438416 0.871094
994 0.356757 0.886719
995 0.424465 0.851562
996 0.327279 0.898438
997 0.435298 0.867188
998 0.486472 0.859375
999 0.409762 0.882812
1000 0.419094 0.855469
1001 0.557131 0.851562
1002 0.365759 0.875
1003 0.457805 0.851562
1004 0.420646 0.855469
1005 0.269789 0.917969
1006 0.455213 0.855469
1007 0.423273 0.855469
1008 0.414763 0.875
1009 0.416361 0.886719
1010 0.33188 0.914062
1011 0.481504 0.855469
1012 0.411992 0.875
1013 0.523554 0.84375
1014 0.405554 0.886719
1015 0.401344 0.867188
1016 0.425517 0.878906
1017 0.482514 0.863281
